chr	block	start	end	block_length	n_haplotypes	n_clusters	max_cluster_size	singleton_count	dominance	shannon_entropy
chr1	chr1_10023878-10175888	10023878	10175888	152010	5096	456	2428	314	0.476452	3.9896
chr1	chr1_100330740-100565735	100330740	100565735	234995	5096	82	3823	62	0.750196	1.49119
chr1	chr1_100565735-100730877	100565735	100730877	165142	5096	145	2644	106	0.518838	2.19499
chr1	chr1_100730877-100746700	100730877	100746700	15823	5096	680	1091	408	0.214089	6.00155
chr1	chr1_100746700-100805978	100746700	100805978	59278	5096	15	2498	4	0.490188	1.56738
chr1	chr1_100805978-101038523	100805978	101038523	232545	5096	261	2192	201	0.430141	2.96704
chr1	chr1_101038523-101155370	101038523	101155370	116847	5096	327	2872	198	0.563579	3.26904
chr1	chr1_101155370-101193787	101155370	101193787	38417	5096	647	863	347	0.169349	6.49094
chr1	chr1_101193787-101218347	101193787	101218347	24560	5096	4	2872	0	0.563579	1.0183
chr1	chr1_101218347-101238092	101218347	101238092	19745	5096	35	2385	19	0.468014	1.66669
chr1	chr1_101238092-101293193	101238092	101293193	55101	5096	340	2393	205	0.469584	3.15037
chr1	chr1_101293193-101383873	101293193	101383873	90680	5096	492	1088	338	0.213501	4.52145
chr1	chr1_101383873-101536804	101383873	101536804	152931	5096	586	2036	497	0.399529	3.49171
chr1	chr1_101536804-101574728	101536804	101574728	37924	5096	188	3424	118	0.6719	2.26172
chr1	chr1_101574728-101638059	101574728	101638059	63331	5096	177	3125	115	0.613226	2.59535
chr1	chr1_101638059-101712735	101638059	101712735	74676	5096	143	3914	80	0.768053	1.83768
chr1	chr1_101712735-101746149	101712735	101746149	33414	5096	144	1950	70	0.382653	3.40589
chr1	chr1_101746149-101819487	101746149	101819487	73338	5096	112	2238	74	0.439168	2.86101
chr1	chr1_10175888-10424113	10175888	10424113	248225	5096	924	1346	765	0.264129	5.15772
chr1	chr1_101819487-101831838	101819487	101831838	12351	5096	258	2129	146	0.417779	3.26073
chr1	chr1_101831838-101841621	101831838	101841621	9783	5096	13	4010	2	0.786892	1.00527
chr1	chr1_101841621-101897762	101841621	101897762	56141	5096	86	2153	42	0.422488	2.91064
chr1	chr1_101897762-101924049	101897762	101924049	26287	5096	5	2860	3	0.561224	0.996556
chr1	chr1_101924049-101957588	101924049	101957588	33539	5096	5	2822	1	0.553768	1.01597
chr1	chr1_101957588-101984920	101957588	101984920	27332	5096	5	3183	1	0.624608	1.32521
