chr	n_blocks	total_clusters	mean_entropy	mean_dominance	mean_singletons
chr1	3048	851785	2.867	0.489	0.565
chr2	3088	876843	2.899	0.487	0.561
chr3	2578	614704	2.835	0.477	0.534
chr4	2435	683253	2.818	0.495	0.565
chr5	2338	651726	2.966	0.467	0.563
chr6	2287	634332	2.96	0.468	0.555
chr7	2088	642453	3.01	0.472	0.578
chr8	1973	553784	2.883	0.483	0.566
chr9	1748	501183	2.986	0.475	0.57
chr10	1968	528060	2.83	0.488	0.551
chr11	1827	487756	2.784	0.502	0.554
chr12	1904	521544	2.891	0.48	0.552
chr13	1390	367553	2.734	0.508	0.544
chr14	1249	339426	2.894	0.483	0.561
chr15	1210	365516	2.994	0.481	0.574
chr16	1322	434305	3.077	0.478	0.58
chr17	1235	426151	3.144	0.47	0.578
chr18	1222	333535	2.898	0.489	0.548
chr19	1004	455578	3.662	0.418	0.623
chr20	1055	333906	3.158	0.457	0.554
chr21	597	166754	2.913	0.488	0.567
chr22	669	248254	3.354	0.441	0.587
chrX	842	842	0	1	0
